id,imdb_id
862,tt0114709
8844,tt0113497
15602,tt0113228
31357,tt0114885
11862,tt0113041
949,tt0113277
11860,tt0114319
45325,tt0112302
9091,tt0114576
710,tt0113189
9087,tt0112346
12110,tt0112896
21032,tt0112453
10858,tt0113987
1408,tt0112760
524,tt0112641
4584,tt0114388
5,tt0113101
9273,tt0112281
11517,tt0113845
8012,tt0113161
1710,tt0112722
9691,tt0112401
12665,tt0114168
451,tt0113627
16420,tt0114057
9263,tt0114011
17015,tt0114117
902,tt0112682
9909,tt0112792
63,tt0114746
78802,tt0114952
9598,tt0112431
47018,tt0112637
687,tt0112818
139405,tt0112286
33689,tt0113442
9603,tt0112697
34615,tt0112749
31174,tt0114279
11443,tt0112819
35196,tt0114272
9312,tt0113855
577,tt0114681
11861,tt0113347
807,tt0114369
10530,tt0114148
8391,tt0114916
629,tt0114814
117164,tt0109950
11448,tt0113819
49133,tt0110299
26441,tt0112499
97406,tt0113158
124057,tt0113541
9089,tt0113321
11010,tt0110877
99040,tt0112714
11359,tt0113419
17182,tt0116260
2054,tt0113862
10607,tt0116126
19760,tt0118002
9536,tt0115683
11525,tt0116839
40628,tt0114753
4482,tt0113149
10634,tt0113118
755,tt0116367
11859,tt0113010
28387,tt0113537
48750,tt0113828
20927,tt0115644
36929,tt0115676
9102,tt0114367
124626,tt0113973
27526,tt0112744
9623,tt0116731
46785,tt0112445
400,tt0114660
880,tt0112379
146599,tt0114039
188588,tt0113612
8447,tt0112365
10534,tt0118158
17414,tt0116151
13997,tt0115697
2086,tt0113972
61548,tt0113490
9095,tt0117002
12158,tt0114825
9283,tt0115639
9208,tt0115759
40154,tt0113403
406,tt0113247
45549,tt0111173
63076,tt0113283
11062,tt0115907
13685,tt0115734
47475,tt0117102
2045,tt0118040
9614,tt0116483
688,tt0112579
11907,tt0110251
10874,tt0117110
89333,tt0112646
96357,tt0113276
197,tt0112573
103,tt0075314
43566,tt0115645
71754,tt0113774
43612,tt0112556
51352,tt0112373
16934,tt0115033
10324,tt0116606
78406,tt0114536
55731,tt0117427
32119,tt0106473
11066,tt0103859
37975,tt0114808
2074,tt0116324
27793,tt0110647
44284,tt0111055
290157,tt0110217
110972,tt0114131
32622,tt0112364
73067,tt0113107
11863,tt0113451
55475,tt0114015
124636,tt0114500
9101,tt0116130
123360,tt0113125
5757,tt0113756
39428,tt0113952
124639,tt0114618
9302,tt0118055
11000,tt0115685
249882,tt0113200
16388,tt0112585
9737,tt0112442
30765,tt0112342
10474,tt0112461
22279,tt0112427
30157,tt0109093
568,tt0112384
11780,tt0114287
34996,tt0112288
414,tt0112462
649,tt0061395
1873,tt0112495
5894,tt0112541
1775,tt0109370
8839,tt0112642
20649,tt0112688
10329,tt0112715
8963,tt0112740
26564,tt0109508
8068,tt0112851
8512,tt0112857
1572,tt0112864
13552,tt0112887
259209,tt0113044
6520,tt0113071
9073,tt0113114
10428,tt0113243
17447,tt0113464
9886,tt0113481
9482,tt0113492
19326,tt0113500
9344,tt0113540
9071,tt0113677
8973,tt0113690
15730,tt0107447
47608,tt0113729
2293,tt0113749
9070,tt0113820
68274,tt0113851
48787,tt0110604
34574,tt0110620
1642,tt0113957
11472,tt0113986
36196,tt0114095
11980,tt0114194
58372,tt0114241
32646,tt0114323
10533,tt0114345
56088,tt0114435
10802,tt0114436
10149,tt0114478
18402,tt0114496
9348,tt0114508
139408,tt0114534
281,tt0114558
5967,tt0058450
79593,tt0114666
47939,tt0114663
36834,tt0114702
9090,tt0114682
3512,tt0114781
52856,tt0114798
77350,tt0114805
9560,tt0114887
9804,tt0114898
31611,tt0114928
65796,tt0114938
49805,tt0109340
26258,tt0112602
50797,tt0111579
19155,tt0110882
76,tt0112471
11017,tt0112508
37141,tt0112438
9382,tt0112571
6715,tt0112757
18256,tt0112643
22625,tt0112679
2292,tt0109445
1909,tt0112883
8984,tt0109635
61813,tt0112899
4954,tt0109676
62488,tt0112854
10531,tt0109579
11929,tt0109642
8467,tt0109686
20156,tt0109759
18395,tt0109758
522,tt0109707
397,tt0113117
10525,tt0113097
27985,tt0113028
15789,tt0113198
27303,tt0113303
21183,tt0113089
10954,tt0109771
47867,tt0113199
43475,tt0113234
72031,tt0109906
14275,tt0110057
1024,tt0110005
17207,tt0110066
13701,tt0110116
14819,tt0110006
32631,tt0113360
11777,tt0110099
628,tt0110148
87729,tt0113463
18713,tt0110189
6280,tt0110216
9061,tt0113501
37108,tt0113538
6071,tt0113552
11,tt0076759
9587,tt0110367
19101,tt0113670
49980,tt0110296
17961,tt0109731
18183,tt0103994
4476,tt0110322
11008,tt0110443
47504,tt0110365
32325,tt0107566
43742,tt0110391
28313,tt0113691
11318,tt0110428
3036,tt0109836
40490,tt0113755
24070,tt0110538
8986,tt0110516
10510,tt0110527
17402,tt0113808
38722,tt0113896
8438,tt0113870
11593,tt0110684
1945,tt0110638
39310,tt0113967
109560,tt0117169
56428,tt0106402
63105,tt0113948
131957,tt0110671
241,tt0110632
9058,tt0110737
527,tt0110729
18220,tt0114151
6950,tt0114069
101,tt0110413
63020,tt0114113
2307,tt0114210
680,tt0110912
41478,tt0114084
25296,tt0105652
40156,tt0110889
11450,tt0110932
30304,tt0114129
10452,tt0110963
12106,tt0114214
161495,tt0114296
3586,tt0110907
110,tt0111495
108,tt0108394
109,tt0111507
159185,tt0110769
36357,tt0114268
92769,tt0110965
28033,tt0114571
22586,tt0111333
14334,tt0111112
2636,tt0111255
2164,tt0111282
11395,tt0111070
278,tt0111161
9905,tt0111149
87078,tt0108260
12527,tt0106966
20306,tt0114594
36614,tt0111309
27993,tt0113936
9067,tt0114614
9059,tt0114608
193,tt0111280
25066,tt0114609
46797,tt0111454
12122,tt0114852
11381,tt0114694
32636,tt0111590
36141,tt0114788
95963,tt0114888
1587,tt0108550
9271,tt0114857
2064,tt0114924
19855,tt0111667
60855,tt0109655
236,tt0110598
48287,tt0112435
3049,tt0109040
2759,tt0109045
12635,tt0106339
10497,tt0104779
11382,tt0109348
9331,tt0109444
10731,tt0109446
10464,tt0109484
34152,tt0109504
9495,tt0109506
29973,tt0109450
888,tt0109813
13,tt0109830
712,tt0109831
16295,tt0113305
48992,tt0110091
10879,tt0110093
10660,tt0110167
10714,tt0110213
41647,tt0107472
8587,tt0110357
1689,tt0107426
11596,tt0111686
854,tt0110475
9359,tt0110478
23333,tt0110588
36593,tt0110622
12280,tt0110771
2788,tt0110950
10427,tt0105226
11011,tt0110989
49803,tt0111054
8987,tt0110997
1637,tt0111257
15128,tt0111256
8831,tt0111438
36955,tt0111503
10449,tt0111693
10395,tt0111742
12160,tt0111756
40480,tt0112443
52038,tt0110455
29444,tt0111048
26352,tt0110399
39953,tt0112570
41580,tt0109454
315,tt0059170
22067,tt0110186
18242,tt0108069
11667,tt0111301
32502,tt0112702
267188,tt0112849
28732,tt0113014
75555,tt0113043
42981,tt0113104
278939,tt0113173
291731,tt0113319
226229,tt0113827
203119,tt0114047
172923,tt0112889
316098,tt0109339
8011,tt0110027
171857,tt0109785
2654,tt0113409
18069,tt0109021
19092,tt0109035
2758,tt0106220
38129,tt0111804
10436,tt0106226
13595,tt0109068
46094,tt0109067
9409,tt0106292
11853,tt0109198
16771,tt0109219
46924,tt0106379
11041,tt0106400
306,tt0109254
14522,tt0109279
26203,tt0109297
178,tt0109303
19819,tt0109305
57834,tt0109306
4722,tt0106452
18215,tt0106471
1607,tt0106489
26391,tt0109361
117553,tt0106505
6075,tt0106519
11310,tt0109439
18658,tt0109443
9350,tt0106582
9612,tt0106598
2124,tt0109456
26261,tt0109480
19176,tt0109493
49299,tt0106660
11566,tt0106673
9571,tt0106677
9739,tt0106697
24257,tt0109729
34444,tt0106834
26141,tt0106873
50463,tt0109783
10443,tt0106881
20239,tt0106880
16297,tt0111732
18551,tt0106926
25440,tt0111712
9024,tt0106941
37233,tt0106918
1634,tt0106965
13815,tt0109842
5503,tt0106977
35588,tt0107004
2087,tt0109890
41579,tt0109891
18620,tt0109913
41006,tt0109920
4916,tt0107057
2019,tt0107076
31642,tt0107096
9255,tt0107144
26271,tt0113674
10612,tt0112966
2259,tt0107151
16097,tt0110064
11934,tt0110074
